Name, Address, Rating, Number of Ratings, Location
"S&S Winery","Ohrid, North Macedonia","5.0","27","41.13841540,20.77578590"
"Sarika Winery","Mirche Acev 128, Prilep 7500, North Macedonia","5.0","5","41.34033770,21.56240170"
"Winery Ohrid","4QHV+56P, Бул. Железничка ББ, Ohrid 6000, North Macedonia","5.0","7","41.12797080,20.79309050"
"Monastery Winery","MK, Ohrid 6000, North Macedonia","4.9","150","41.18479510,20.87724880"
"Ciflik Winery","2 br.18 Brusnik, Bitola, North Macedonia","4.5","667","41.03199370,21.29290920"
"Kocev Family Wines","Prohor Pcinski, Veles, North Macedonia","5.0","2","41.70966920,21.78777100"
"Manager Tikves Wine Tourism","8 mi septemvri, 1431, North Macedonia","0.0","0","41.60863500,21.74527500"
"Pirgan","Народен Херој, MK, Орде Чопела бб, Prilep 7500, North Macedonia","4.2","6","41.36544400,21.51550860"
"Alesto Winery","Arvati, North Macedonia","5.0","11","40.94297550,21.11205440"
"Winery „Stobi“","Avtopat b.b., Gradsko 1400, North Macedonia","4.7","375","41.58123260,21.93622670"
"Wine Bar & Winery Mal Sv. Kliment","Metodi Patche 8, Ohrid 6000, North Macedonia","4.8","64","41.11260650,20.79692220"
"Винарска визба Лозар","28XW+2V9, Bitola, North Macedonia","4.2","268","41.04754360,21.34722310"
"GD Tikves Winery","Ul. Kamendol - Trstenik S MK, Trstenik 1422, North Macedonia","5.0","1","41.47583900,21.92111890"
"MILEV Winery","Ul. Kamendol - Trstenik S, Trstenik 1422, North Macedonia","0.0","0","41.47583310,21.92112230"
"Vinarija Baso","Mara Ugrinova - Gina, Kičevo, North Macedonia","0.0","0","41.50295710,20.95340830"
"Winery „Chateau Sopot“","MK, Veles 1400, North Macedonia","4.4","672","41.77775590,21.74099030"
"Winery „Kitvin“","MK, R1103, Vozartsi 1424, North Macedonia","0.0","0","41.43426790,21.92404900"
"Winery „Stobi“","Avtopat b.b., Gradsko 1400, North Macedonia","4.7","375","41.58123260,21.93622670"
"Jostela Winery","Moinski Pat, Gevgelija 1480, North Macedonia","5.0","20","41.13559590,22.48336920"
"Winery „Bovin“","Индустриска, Negotino 1440, North Macedonia","4.8","75","41.49330020,22.09248960"
"Family Winery „Peškov“","C2G3+7HV, Kavadarci, North Macedonia","4.6","10","41.42574020,22.00391190"
"Kocev Family Wines","Prohor Pcinski, Veles, North Macedonia","5.0","2","41.70966920,21.78777100"
"Winery „Popov“","F2RC+JH6, Sopot, North Macedonia","4.6","30","41.49153590,22.02138260"
"Winery „Popova kula“","Wine Boulevard No.1, Demir Kapija 1442, North Macedonia","4.5","573","41.41088500,22.22656500"
"Winery „Paragon“","G4C8+R4, Krivolak 1440, North Macedonia","4.8","12","41.52206250,22.11531250"
"Valandovo Winery","Orce Nikolov 6, Valandovo 2460, North Macedonia","4.7","16","41.31955950,22.56633680"
"OldSchoolWinery","Lake Mladost Veles MK, 1400, North Macedonia","4.7","6","41.77361540,21.76712100"
"Imako Vino Winery","M5X4+MX, 6th km local road Stip-Radovis MK, Sofilari 2000, North Macedonia","4.5","42","41.70167940,22.15613550"
"Winery „Badi“","Pere Toshev 3, Kavadartsi 1430, North Macedonia","5.0","11","41.43214790,22.00611890"
"Winery „Eros“","MK, Marshal Tito 59, Marena 1430, North Macedonia","4.5","11","41.46675850,22.03017640"
"Winery „Lazar“","Naseleno mesto bez ulicen sistem MK, Stobi, Palikura 1422, North Macedonia","4.8","306","41.54645600,21.97247050"
"Zaharchev Winery and Distillery","Kosovska 16, Kavadarci 1430, North Macedonia","5.0","14","41.43604680,22.00486960"
"GD Tikves Winery","Ul. Kamendol - Trstenik S MK, Trstenik 1422, North Macedonia","5.0","1","41.47583900,21.92111890"
"Dalvina Winery","R1302, Hamzali 2431, North Macedonia","4.8","21","41.48993410,22.74467340"
"MILEV Winery","Ul. Kamendol - Trstenik S, Trstenik 1422, North Macedonia","0.0","0","41.47583310,21.92112230"
"Winery „Vardarska dolina“","G2JC+WW6, Kurija, North Macedonia","0.0","0","41.53227710,22.02227510"
"Winery „Venec“","s Dolni Disan, Negotino 1443, North Macedonia","4.8","35","41.43390400,22.09297400"
"Winery „Kartal“","ul.1519 br.7 Skopje MK, 1000, North Macedonia","4.9","56","41.96243400,21.47639960"
"Winery „Stobi“","Avtopat b.b., Gradsko 1400, North Macedonia","4.7","375","41.58123260,21.93622670"
"Winery „Kamnik“","Kamnik bb Skopje MK, 1000, North Macedonia","4.8","159","42.00775140,21.49028080"
"Winery „Chateau Sopot“","MK, Veles 1400, North Macedonia","4.4","672","41.77775590,21.74099030"
"Kocev Family Wines","Prohor Pcinski, Veles, North Macedonia","5.0","2","41.70966920,21.78777100"
"Winery „Bovin“","Индустриска, Negotino 1440, North Macedonia","4.8","75","41.49330020,22.09248960"
"Wine Cellar Tikves AD Skopje","810 no. 2, Skopje 1000, North Macedonia","4.2","10","42.00155600,21.46788600"
"Winery „Paragon“","G4C8+R4, Krivolak 1440, North Macedonia","4.8","12","41.52206250,22.11531250"
"Brzanov","ul 1 br. 4, Trubarevo 1047, North Macedonia","4.9","112","41.98554500,21.51743710"
"Winery „Popov“","F2RC+JH6, Sopot, North Macedonia","4.6","30","41.49153590,22.02138260"
"OldSchoolWinery","Lake Mladost Veles MK, 1400, North Macedonia","4.7","6","41.77361540,21.76712100"
"Winery „Vardarska dolina“","G2JC+WW6, Kurija, North Macedonia","0.0","0","41.53227710,22.02227510"
"Imako Vino Winery","M5X4+MX, 6th km local road Stip-Radovis MK, Sofilari 2000, North Macedonia","4.5","42","41.70167940,22.15613550"
"Vardar Winery & Wines","Vasil Gjorgov, Skopje 1000, North Macedonia","0.0","0","41.99296270,21.41585120"
"Winery „Lazar“","Naseleno mesto bez ulicen sistem MK, Stobi, Palikura 1422, North Macedonia","4.8","306","41.54645600,21.97247050"
"Winery „Movino“","GXC7+HVF, MK, Industriska BB, Rosoman 1422, North Macedonia","5.0","2","41.52144420,21.96467460"
"Filovski Winery","23, 11th October St. 1/1, Skopje 1000, North Macedonia","0.0","0","41.99221460,21.43429220"
"Vardar Winery & Wines","Dame Gruev, Skopje 1000, North Macedonia","0.0","0","41.99466060,21.42806480"
"Skovin AD Skopje Winery","15th Korpus No. 3 Skopje 1000, 1000, North Macedonia","4.9","11","42.00048460,21.47858260"
"Bord Life","1106, Skopje 1000, Skopje, North Macedonia","4.9","18","42.05864180,21.31765650"
"Winery „Chateau Sopot“","MK, Veles 1400, North Macedonia","4.4","672","41.77775590,21.74099030"
